sample_id,image_path,parchment_tone,ink_family,stroke_width_px,scan_gain,difficulty_tier,visual_variant,degradation_label,edge_bleed_score,reverse_showthrough_score,pigment_loss_score
raw_ms_00000,images/raw_ms_00000.png,warm,mixed,9,1.093,medium,scanner_jitter,feathering,0.613,0.032,0.0
raw_ms_00001,images/raw_ms_00001.png,cool,sepia,7,0.89,easy,standard,bleed_through,0.0,1.096,0.0
raw_ms_00002,images/raw_ms_00002.png,warm,sepia,5,1.087,hard,foxed_noise,stable_ink,0.0,0.067,0.038
raw_ms_00003,images/raw_ms_00003.png,neutral,carbon,5,1.028,medium,standard,bleed_through,0.0,0.608,0.032
raw_ms_00004,images/raw_ms_00004.png,warm,iron_gall,4,0.965,hard,standard,bleed_through,0.061,0.393,0.035
raw_ms_00005,images/raw_ms_00005.png,neutral,iron_gall,5,0.937,medium,standard,salt_bloom,0.038,0.0,0.223
raw_ms_00006,images/raw_ms_00006.png,neutral,iron_gall,5,0.935,hard,mixed_artifact,salt_bloom,0.0,0.08,0.085
raw_ms_00007,images/raw_ms_00007.png,neutral,iron_gall,4,1.046,hard,scanner_jitter,feathering,0.537,0.046,0.026
raw_ms_00008,images/raw_ms_00008.png,neutral,carbon,5,0.996,hard,standard,abrasion,0.0,0.076,0.486
raw_ms_00009,images/raw_ms_00009.png,warm,iron_gall,5,0.902,medium,mixed_artifact,salt_bloom,0.0,0.0,0.267
raw_ms_00010,images/raw_ms_00010.png,warm,carbon,9,0.988,medium,low_contrast,salt_bloom,0.04,0.0,0.29
raw_ms_00011,images/raw_ms_00011.png,neutral,carbon,5,0.976,medium,standard,feathering,0.498,0.026,0.0
raw_ms_00012,images/raw_ms_00012.png,warm,iron_gall,7,0.971,easy,standard,abrasion,0.0,0.0,1.135
raw_ms_00013,images/raw_ms_00013.png,neutral,sepia,9,1.056,medium,standard,salt_bloom,0.0,0.0,0.27
raw_ms_00014,images/raw_ms_00014.png,neutral,carbon,5,1.147,medium,low_contrast,stable_ink,0.018,0.0,0.0
raw_ms_00015,images/raw_ms_00015.png,warm,sepia,4,0.983,hard,standard,bleed_through,0.063,0.528,0.036
raw_ms_00016,images/raw_ms_00016.png,foxed,carbon,7,0.964,medium,standard,feathering,0.838,0.0,0.042
raw_ms_00017,images/raw_ms_00017.png,neutral,carbon,6,0.897,hard,mixed_artifact,abrasion,0.053,0.053,0.278
raw_ms_00018,images/raw_ms_00018.png,cool,mixed,8,0.901,easy,standard,feathering,1.132,0.0,0.0
raw_ms_00019,images/raw_ms_00019.png,warm,sepia,5,0.966,medium,mixed_artifact,salt_bloom,0.036,0.0,0.213
raw_ms_00020,images/raw_ms_00020.png,warm,sepia,4,1.079,medium,foxed_noise,feathering,0.737,0.0,0.024
raw_ms_00021,images/raw_ms_00021.png,warm,sepia,7,0.972,hard,standard,stable_ink,0.0,0.089,0.089
raw_ms_00022,images/raw_ms_00022.png,warm,mixed,5,1.075,hard,standard,stable_ink,0.0,0.0,0.083
raw_ms_00023,images/raw_ms_00023.png,neutral,carbon,8,1.003,easy,standard,salt_bloom,0.0,0.0,0.314
raw_ms_00024,images/raw_ms_00024.png,foxed,iron_gall,8,1.058,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00025,images/raw_ms_00025.png,cool,mixed,4,1.107,easy,standard,feathering,1.128,0.0,0.0
raw_ms_00026,images/raw_ms_00026.png,warm,mixed,6,0.937,easy,standard,feathering,0.943,0.0,0.0
raw_ms_00027,images/raw_ms_00027.png,warm,carbon,7,1.143,hard,standard,stable_ink,0.0,0.052,0.03
raw_ms_00028,images/raw_ms_00028.png,neutral,iron_gall,6,0.931,easy,standard,bleed_through,0.0,0.982,0.0
raw_ms_00029,images/raw_ms_00029.png,neutral,sepia,6,1.024,hard,foxed_noise,feathering,0.432,0.0,0.087
raw_ms_00030,images/raw_ms_00030.png,warm,carbon,4,1.094,easy,standard,abrasion,0.0,0.0,1.019
raw_ms_00031,images/raw_ms_00031.png,neutral,iron_gall,6,0.931,medium,scanner_jitter,bleed_through,0.0,0.499,0.022
raw_ms_00032,images/raw_ms_00032.png,warm,iron_gall,9,0.954,easy,standard,abrasion,0.0,0.0,0.888
raw_ms_00033,images/raw_ms_00033.png,neutral,iron_gall,7,0.935,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00034,images/raw_ms_00034.png,neutral,iron_gall,4,0.867,medium,standard,feathering,0.529,0.0,0.024
raw_ms_00035,images/raw_ms_00035.png,cool,mixed,6,0.995,hard,foxed_noise,salt_bloom,0.064,0.064,0.114
raw_ms_00036,images/raw_ms_00036.png,foxed,carbon,9,0.927,medium,foxed_noise,stable_ink,0.0,0.0,0.034
raw_ms_00037,images/raw_ms_00037.png,cool,mixed,6,1.04,medium,foxed_noise,salt_bloom,0.0,0.0,0.177
raw_ms_00038,images/raw_ms_00038.png,neutral,mixed,5,0.95,medium,standard,bleed_through,0.0,0.498,0.04
raw_ms_00039,images/raw_ms_00039.png,neutral,mixed,8,0.884,medium,foxed_noise,feathering,0.541,0.039,0.0
raw_ms_00040,images/raw_ms_00040.png,warm,iron_gall,5,1.116,medium,foxed_noise,feathering,0.511,0.042,0.0
raw_ms_00041,images/raw_ms_00041.png,cool,sepia,5,0.985,medium,standard,salt_bloom,0.0,0.0,0.21
raw_ms_00042,images/raw_ms_00042.png,neutral,carbon,7,1.064,easy,standard,salt_bloom,0.0,0.0,0.4
raw_ms_00043,images/raw_ms_00043.png,warm,sepia,6,0.901,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00044,images/raw_ms_00044.png,neutral,carbon,7,1.021,medium,scanner_jitter,stable_ink,0.0,0.0,0.021
raw_ms_00045,images/raw_ms_00045.png,warm,carbon,6,0.906,medium,mixed_artifact,abrasion,0.04,0.0,0.761
raw_ms_00046,images/raw_ms_00046.png,foxed,mixed,6,1.102,hard,scanner_jitter,bleed_through,0.076,0.405,0.076
raw_ms_00047,images/raw_ms_00047.png,neutral,carbon,5,1.035,medium,scanner_jitter,feathering,0.637,0.0,0.021
raw_ms_00048,images/raw_ms_00048.png,warm,iron_gall,4,0.981,hard,low_contrast,stable_ink,0.0,0.07,0.07
raw_ms_00049,images/raw_ms_00049.png,warm,carbon,6,0.954,medium,standard,bleed_through,0.02,0.676,0.0
raw_ms_00050,images/raw_ms_00050.png,foxed,sepia,9,1.066,medium,standard,feathering,0.76,0.0,0.036
raw_ms_00051,images/raw_ms_00051.png,neutral,sepia,6,1.114,medium,foxed_noise,abrasion,0.024,0.0,0.591
raw_ms_00052,images/raw_ms_00052.png,warm,iron_gall,6,1.14,easy,standard,salt_bloom,0.0,0.0,0.344
raw_ms_00053,images/raw_ms_00053.png,foxed,carbon,7,1.074,easy,standard,bleed_through,0.0,1.109,0.0
raw_ms_00054,images/raw_ms_00054.png,cool,iron_gall,9,1.134,easy,standard,abrasion,0.0,0.0,1.174
raw_ms_00055,images/raw_ms_00055.png,neutral,carbon,9,1.142,medium,standard,salt_bloom,0.0,0.039,0.215
raw_ms_00056,images/raw_ms_00056.png,neutral,sepia,4,1.119,easy,standard,abrasion,0.0,0.0,1.141
raw_ms_00057,images/raw_ms_00057.png,neutral,sepia,4,1.045,medium,standard,abrasion,0.0,0.037,0.846
raw_ms_00058,images/raw_ms_00058.png,warm,sepia,4,0.992,easy,standard,feathering,1.095,0.0,0.0
raw_ms_00059,images/raw_ms_00059.png,foxed,mixed,4,0.957,hard,mixed_artifact,salt_bloom,0.053,0.053,0.161
raw_ms_00060,images/raw_ms_00060.png,neutral,mixed,9,0.917,easy,standard,feathering,1.057,0.0,0.0
